Catalog Number,Inventory number,Suffix,Date D,Date M,Date P,PTS,Country,Place,Area,Locality,Formation,Member,Level,Age G1,Age G2,Anatomical part,Anatomical description,Taxonomy 1,Taxonomy 2,TR,Discoverer,Reference of first mention,Reference of description,Reference of taxonomical allocation,Reference of dating,Part
KNM-WT 22944a,KNM-WT 22944,A,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,M,Eroded mandibular body,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944b,KNM-WT 22944,B,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,T,Rc,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944c,KNM-WT 22944,C,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,T,Lp3,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944d,KNM-WT 22944,D,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,T,Isolated root. Lc ?,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944e,KNM-WT 22944,E,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,T,Single-rooted tooth frag.,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944f,KNM-WT 22944,F,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,T,Li2,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944g,KNM-WT 22944,G,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,P,L metacarpal (III?) 1/3 dist.,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944h,KNM-WT 22944,H,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,P,L capitatum,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944i,KNM-WT 22944,I,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,P,L hamatum,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944j,KNM-WT 22944,J,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,P,L lunatum,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 22944k,KNM-WT 22944,K,1990,1999,1999,9,Kenya,South Turkwel,#,ST,Nachukui,Kataboi,#,3.20-3.58 ,3.20-3.58 ,P,1/2 prox. frag. prox. foot phalanx,Hominine GSI,A. cf. A. afarensis,NTA,#,"Ward et al., 1999","Ward et al., 1999","Ward et al., 1999; Wood and Leakey, 2011","Ward et al, 1999",west
KNM-WT 37100,KNM-WT 37100,#,1997,2003,2003,6,Kenya,Nachukui,#,KS1,Nachukui,Kaitio,#,1.65-1.79,1.65-1.79,T,Lm3,P. boisei,P. boisei,CTA,#,"Prat et al., 2003","Prat et al., 2003","Prat et al., 2003",Roche et al. 2003,west
KNM-WT 37744,KNM-WT 37744,#,1998,2003,2003,5,Kenya,Nachukui,#,KS1,Nachukui,Kaitio,#,1.65-1.79,1.65-1.79,T,LC,P. boisei,P. boisei,CTA,#,"Prat et al., 2003","Prat et al., 2003","Prat et al., 2003",Roche et al. 2003,west
KNM-WT 37745,KNM-WT 37745,#,1998,2003,2003,5,Kenya,Nachukui,#,NY1,Nachukui,Kaitio,#,1.70-1.80,1.70-1.80,T,Rp3,H. cf. erectus,H. cf. ergaster,UTA,#,"Prat et al., 2003","Prat et al., 2003","Prat et al., 2003",Roche et al. 2003,west
KNM-WT 37747,KNM-WT 37747,#,1998,2003,2003,5,Kenya,Nachukui,#,KS1,Nachukui,Kaitio,#,1.65-1.79,1.65-1.79,T,LM1,P. boisei,P. boisei,CTA,#,"Prat et al., 2003","Prat et al., 2003","Prat et al., 2003",Roche et al. 2003,west
KNM-WT 37748,KNM-WT 37748,#,1998,2003,2003,5,Kenya,Nachukui,#,KS1,Nachukui,Kaitio,#,1.65-1.79,1.65-1.79,T,RM3,P. boisei,P. boisei,CTA,#,"Prat et al., 2003","Prat et al., 2003","Prat et al., 2003",Roche et al. 2003,west
KNM-WT 38332,KNM-WT 38332,#,1999,2001,2020,21,Kenya,Nachukui,#,LO-4E,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,RM3 partial crown,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38333,KNM-WT 38333,#,1999,2001,2020,21,Kenya,Nachukui,#,LO-4E,Nachukui,Kataboi,#,3.40-3.50,3.40-3.50,T,Lm1or2 crown,Hominine GSI,Hominine GSI,GSI,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38334,KNM-WT 38334,#,1999,2001,2020,21,Kenya,Nachukui,#,LO-4W,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Lm1or2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38335,KNM-WT 38335,#,1999,2001,2020,21,Kenya,Nachukui,#,LO-4E,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Rm1or2 crown frag.,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38336,KNM-WT 38336,#,1999,2011,2020,21,Kenya,Nachukui,#,LO-6S,Nachukui,Lomekwi,#,#,#,T,LI1,Hominine GSI,cf. K. platyops,NTA,#,"Wood and Leakey, 2011","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020",No reference for datings,west
KNM-WT 38337,KNM-WT 38337,#,1999,2001,2020,21,Kenya,Nachukui,#,LO-4E,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,LM1OR2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38338,KNM-WT 38338,#,1999,2001,2020,21,Kenya,Nachukui,#,LO-4E,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,RM1OR2 partial crown,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38339,KNM-WT 38339,#,1999,2001,2020,21,Kenya,Nachukui,#,LO-4W,Nachukui,Kataboi,#,3.40-3.50,3.40-3.50,T,Lm1or2 crown,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38340,KNM-WT 38340,#,1999,2011,#,#,Kenya,Nachukui,#,NK3,Nachukui,Natoo,#,#,#,M,Edentulous mandible,H. erectus,H. ergaster,NTN,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011",No reference for datings,west
KNM-WT 38341,KNM-WT 38341,#,1999,2001,2020,21,Kenya,Nachukui,#,LO-4E,Nachukui,Kataboi,#,3.53,3.53,T,Partial Lm2or3,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38342,KNM-WT 38342,#,1999,2001,2020,21,Kenya,Nachukui,#,LO-4E,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Lm1or2 crown,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38343a,KNM-WT 38343,A,1999,2001,2020,21,Kenya,Nachukui,#,LO4-W,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,C,R maxillary frag. with RI2 and RP3,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38343b,KNM-WT 38343,B,1999,2001,2020,21,Kenya,Nachukui,#,LO4-W,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,M,Mandible frag.,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38344,KNM-WT 38344,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-9,Nachukui,Lomekwi,#,3.10-3.30,3.10-3.30,T,Rm1or2 crown,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38345,KNM-WT 38345,#,1998,2011,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,P,Intermed. phalanx,Hominine GSI,cf. K. platyops,NTA,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Deduced from Leakey et al., 2001",west
KNM-WT 38346,KNM-WT 38346,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Partial RM1OR2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38347,KNM-WT 38347,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Ldm2 or Lm2or3 crown,Hominine GSI,Hominine GSI,GSI,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38349,KNM-WT 38349,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,RM1or2 crown,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38350,KNM-WT 38350,#,1998,2001,2001,3,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,C,L maxillary frag.,K. platyops P,K. platyops P,NTA,#,"Leakey et al., 2001","Leakey et al., 2001","Leakey et al., 2001","Leakey et al., 2001",west
KNM-WT 38351,KNM-WT 38351,#,1998,2013,#,#,Kenya,Nachukui,#,LO-1,Nachukui,Lomekwi,#,2.47-2.55,2.47-2.55,T,L(?)M2 frag.,P. aethiopicus,P. aethiopicus,CTA,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Cerling et al., 2013",west
KNM-WT 38352,KNM-WT 38352,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Partial Rm1or2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38353a,KNM-WT 38353,a,1998,2011,#,#,Kenya,Nachukui,#,LO-3 ,Nachukui,Kalochoro,#,2.25-2.35,2.25-2.35,T,Lm3 frag.,P. boisei,P. aethiopicus,NTA,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Cerling et al., 2013",west
KNM-WT 38353b,KNM-WT 38353,b,1998,2011,#,#,Kenya,Nachukui,#,LO-3 ,Nachukui,Kalochoro,#,2.25-2.35,2.25-2.35,T,Lm2 frag.,P. boisei,P. aethiopicus,NTA,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Cerling et al., 2013",west
KNM-WT 38353c,KNM-WT 38353,c,1998,2011,#,#,Kenya,Nachukui,#,LO-3 ,Nachukui,Kalochoro,#,2.25-2.35,2.25-2.35,T,Lm1 frag.,P. boisei,P. aethiopicus,NTA,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Cerling et al., 2013",west
KNM-WT 38354,KNM-WT 38354,#,1998,2011,#,#,Kenya,Nachukui,#,LO-1,Nachukui,Lomekwi,#,2.47-2.55,2.47-2.55,T,LM3,P. aethiopicus,P. aethiopicus,CTA,#,"Wood and Leakey, 2011",Undescribed,"Wood and Leakey, 2011","Deduced from Cerling et al., 2013",west
KNM-WT 38355,KNM-WT 38355,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-9,Nachukui,Lomekwi,#,3.10-3.30,3.10-3.30,T,RM1OR2 partial crown,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38356,KNM-WT 38356,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-9,Nachukui,Lomekwi,#,3.10-3.30,3.10-3.30,T,RM1OR2 partial crown,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38357,KNM-WT 38357,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Rm1or2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38358a,KNM-WT 38358,A,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,RI2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38358b,KNM-WT 38358,B,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,RM2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38358c,KNM-WT 38358,C,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Lm3,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38358d,KNM-WT 38358,D,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Lm1,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38358e,KNM-WT 38358,E,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,LM1,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38358f,KNM-WT 38358,F,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,RM3,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38358g,KNM-WT 38358,G,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,indet,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38358h,KNM-WT 38358,H,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,indet,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38358i,KNM-WT 38358,I,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,indet,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38359a,KNM-WT 38359,A,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Rm1,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38359b,KNM-WT 38359,B,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Rm2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38361a,KNM-WT 38361,A,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,I1 partial germ,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38361b,KNM-WT 38361,B,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,LI2 partial germ,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38361c,KNM-WT 38361,C,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Lower c partial germ,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38361d,KNM-WT 38361,D,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,RC partial germ,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38361e,KNM-WT 38361,E,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,LC partial germ,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38361f,KNM-WT 38361,F,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,L(?)P3 partial germ,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38361g,KNM-WT 38361,G,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,R(?)P3 partial germ,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38361h,KNM-WT 38361,H,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,L(?)P4 partial germ,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38361i,KNM-WT 38361,I,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,L(?)P4 partial germ,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38362a,KNM-WT 38362,A,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,RM1OR2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 38362b,KNM-WT 38362,B,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,LM1OR2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 39949,KNM-WT 39949,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Partial Lp4,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 39950,KNM-WT 39950,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Rm3,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 39951,KNM-WT 39951,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Rm1or2 frag.,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 39952,KNM-WT 39952,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Lm1or2,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 39953,KNM-WT 39953,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Lm1or2 frag.,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 39954a,KNM-WT 39954,A,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Lp3 crown frag.,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 39954b,KNM-WT 39954,B,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Rp4 crown frag.,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 39955,KNM-WT 39955,#,1998,2001,2020,22,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,Ldc frag.,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Skinner et al., 2020","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 40000,KNM-WT 40000,#,1999,2001,2001,2,Kenya,Nachukui,#,LO-6N,Nachukui,Kataboi,#,3.40-3.57,3.40-3.57,C,Skull,K. platyops H,K. platyops H,NTA,#,"Leakey et al., 2001","Leakey et al., 2001","Leakey et al., 2001","Leakey et al., 2001",west
KNM-WT 40001,KNM-WT 40001,#,1998,2001,2001,3,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,C,R temporal,Hominine GSI,cf. K. platyops,NTA,#,"Leakey et al., 2001","Leakey et al., 2001","Leakey et al., 2001; Skinner et al. 2020","Leakey et al., 2001",west
KNM-WT 42718,KNM-WT 42718,#,2002,2005,2005,3,Kenya,Nachukui,#,LO-1alpha,Nachukui,Kalochoro,#,2.30-2.38,2.26-2.34,T,Rm1,Homo sp.,Homo sp.,SPI,J-P Brugal,"Prat et al., 2005","Prat et al., 2005","Prat et al., 2005","Prat et al, 2005; McDougall et Brown, 2008",west
KNM-WT 51260,KNM-WT 51260,#,2011,2014,2014,3,Kenya,Nachukui,#,Kaitio,Nachukui,Natoo, Lokapetamoi tuff level,1.41-1.43,1.41-1.43,P,R metacarpal III,Homo cf. erectus ,Homo cf. ergaster,UTA,WTPP team,"Ward et al., 2014","Ward et al., 2014","Ward et al., 2014","Ward et al., 2014",west
KNM-WT 51261,KNM-WT 51261,#,2010,2015,2015,5,Kenya,Nachukui,#,NAD,Nachukui,Nariokotome,#,0.75,0.75,T,Lm1or2 germ,Homo sp.,Homo sp.,SPI,WTPP team,"Maddux et al., 2015","Maddux et al., 2015","Maddux et al., 2015","Maddux et al., 2015",west
KNM-WT 66289,KNM-WT 66289,#,2009,2020,2020,11,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,RP3OR4,Hominine GSI,cf. K. platyops,NTA,WTPP team,"Skinner et al, 2020","Skinner et al, 2020","Skinner et al, 2020","Skinner et al, 2020",west
KNM-WT 66290,KNM-WT 66290,#,2009,2020,2020,11,Kenya,Nachukui,#,LO-5,Nachukui,Lomekwi,#,3.20-3.40,3.20-3.40,T,LP3OR4,Hominine GSI,cf. K. platyops,NTA,WTPP team,"Skinner et al, 2020","Skinner et al, 2020","Skinner et al, 2020","Skinner et al, 2020",west
